#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="CoalescentConstant.t:alignment_534b2f5760fc" spec="beast.evolution.tree.coalescent.Coalescent">
#            <populationModel id="ConstantPopulation.t:alignment_534b2f5760fc" spec="beast.evolution.tree.coalescent.ConstantPopulation">
#                <parameter id="popSize.t:alignment_534b2f5760fc" name="popSize" spec="beast.core.parameter.RealParameter">0.3</parameter>
#            </populationModel>
#            <treeIntervals id="TreeIntervals.t:alignment_534b2f5760fc" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:alignment_534b2f5760fc" spec="beast.evolution.tree.Tree">
#                    <taxonset id="TaxonSet.alignment_534b2f5760fc" spec="beast.evolution.alignment.TaxonSet">
#                    </taxonset>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <prior id="PopSizePrior.t:alignment_534b2f5760fc" name="distribution" x="@popSize.t:alignment_534b2f5760fc">
#            <OneOnX id="OneOnX.100" name="distr"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@alignment_534b2f5760fc" id="treeLikelihood.alignment_534b2f5760fc" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:alignment_534b2f5760fc">
#            <siteModel id="SiteModel.s:alignment_534b2f5760fc" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:alignment_534b2f5760fc" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:alignment_534b2f5760fc" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:alignment_534b2f5760fc" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:alignment_534b2f5760fc" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:alignment_534b2f5760fc" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:alignment_534b2f5760fc" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	popSize	CoalescentConstant
19000	-8192.307340113277	-8181.647963693163	-10.659376420113446	-8181.647963693163	0.9896853551278497	2.0466604213563295	-9.943167018081724
20000	-8192.927175708286	-8181.331560219899	-11.59561548838642	-8181.331560219899	1.0240520679281133	1.373352503589287	-11.278360654866281
21000	-8192.28113524246	-8181.652181357927	-10.62895388453293	-8181.652181357927	1.0398647507558412	1.6736703432937323	-10.113934859400993
22000	-8193.889034332859	-8182.996030795078	-10.893003537780686	-8182.996030795078	1.0086804623395393	1.5231721420870494	-10.472208441963971
23000	-8192.79938345342	-8181.677265525151	-11.12211792827033	-8181.677265525151	0.9440459123351305	3.7071211854479835	-9.811862313660086
24000	-8191.685012995303	-8180.327719330808	-11.357293664495073	-8180.327719330808	1.0015855664468327	3.7819499322749013	-10.027053932771897
25000	-8193.190217884747	-8182.60798019517	-10.582237689576989	-8182.60798019517	0.9951772958822611	2.5071788576100564	-9.663079529662813
26000	-8192.704044967682	-8181.818163763995	-10.885881203687198	-8181.818163763995	1.0205238626860869	1.6574343578116824	-10.380610364523749
27000	-8197.232169077699	-8186.776621244386	-10.45554783331303	-8186.776621244386	0.9393264315675955	2.2048380798003837	-9.664893760307676
28000	-8194.490222976829	-8183.162821245627	-11.327401731201343	-8183.162821245627	0.9542468336316466	3.9443336665462305	-9.955121696988146
29000	-8195.759048488637	-8182.276659714274	-13.482388774363013	-8182.276659714274	1.0025624051677953	7.021532810394566	-11.533407231100924
30000	-8194.675487895533	-8183.007149627036	-11.66833826849619	-8183.007149627036	1.0033089771549708	3.924974864574824	-10.300978321212304
31000	-8190.70396023317	-8180.168168381754	-10.535791851415528	-8180.168168381754	0.9726557746323032	2.2690252054700233	-9.716441537054568
32000	-8194.411338612465	-8184.195714045423	-10.215624567042056	-8184.195714045423	0.9529677891025298	2.375633934625096	-9.35036024533007
33000	-8193.988548241387	-8181.6525816360845	-12.335966605302128	-8181.6525816360845	1.0546006520060733	5.194102044687196	-10.688442845607048
34000	-8192.2230936358	-8181.826236468816	-10.396857166982926	-8181.826236468816	0.959159466699708	2.589571822347223	-9.44536462449532
35000	-8193.409015883819	-8183.223682319814	-10.185333564004898	-8183.223682319814	0.9399273922751452	2.0587236892940086	-9.463247341519043
36000	-8194.39941584964	-8180.905352109309	-13.494063740331104	-8180.905352109309	0.953783915549118	7.189761928937344	-11.521405680559786
37000	-8191.3884395344285	-8181.0038685903155	-10.384570944113097	-8181.0038685903155	1.0115794032607595	2.347848397678085	-9.531071610808382
38000	-8191.853634894788	-8180.810733762227	-11.042901132561088	-8180.810733762227	0.9658909143005882	1.206015820920071	-10.85557891583462
39000	-8191.524354799479	-8181.0091397399365	-10.515215059542104	-8181.0091397399365	0.964184389680676	1.6648324796677476	-10.00549055398367
40000	-8193.257510138776	-8182.772401018249	-10.485109120526426	-8182.772401018249	0.9797115277109433	2.3679104269109277	-9.623101230693532
41000	-8190.609021091747	-8179.93834232037	-10.670678771377759	-8179.93834232037	0.9699908141853122	2.522548952272921	-9.745408892067537
42000	-8191.214893789408	-8179.98152307119	-11.23337071821758	-8179.98152307119	0.9470880251857241	3.7566314119129665	-9.90984806346199
43000	-8201.322341409897	-8188.53906157724	-12.783279832656685	-8188.53906157724	0.998555039799156	5.803323216891778	-11.024849110758431
44000	-8191.852456959521	-8180.9739803875755	-10.878476571945468	-8180.9739803875755	1.0126973358409206	2.8903101087654797	-9.817112771506697
45000	-8194.742591950366	-8181.425419274689	-13.317172675676325	-8181.425419274689	0.9429649318334088	6.794929304619855	-11.400996032156796
46000	-8190.532634775568	-8179.97627725863	-10.556357516938283	-8179.97627725863	0.9408293177474152	2.5223489573465274	-9.631166923643391
47000	-8194.91895906026	-8181.81514461353	-13.10381444673092	-8181.81514461353	1.050740652608016	6.244703711592427	-11.272080748379379
48000	-8191.9031107207265	-8181.167837682441	-10.735273038285353	-8181.167837682441	0.9905526430403732	2.4458283464199884	-9.84088918074375
49000	-8196.023986699873	-8185.117083757145	-10.906902942726866	-8185.117083757145	1.0507138481623106	3.1595025067857616	-9.756488362083635
50000	-8195.927284229912	-8184.973273121415	-10.954011108496646	-8184.973273121415	1.0137489130264998	3.163336629797615	-9.80238374245781
51000	-8190.551336729925	-8180.167854758214	-10.383481971710943	-8180.167854758214	0.9655834451640428	1.9577060487120077	-9.711708567212128
52000	-8194.884030041874	-8184.4615750188195	-10.42245502305435	-8184.4615750188195	1.0006520322932104	2.517367116716813	-9.499241462663376
53000	-8191.141889532707	-8180.7648705999645	-10.377018932742674	-8180.7648705999645	0.9497961688329611	2.1040485352237934	-9.63315557006113
54000	-8193.512605827362	-8183.052300218217	-10.460305609144305	-8183.052300218217	1.0664154679546525	2.0042274439653562	-9.765046937369062
55000	-8196.013615836388	-8184.68252445519	-11.331091381197531	-8184.68252445519	1.0089064500899392	1.4188723638965892	-10.981228934988657
56000	-8190.458835412793	-8179.909450031011	-10.54938538178168	-8179.909450031011	0.9970751821935334	2.197859443853304	-9.761901475136455
57000	-8192.626807309085	-8182.354174648932	-10.27263266015373	-8182.354174648932	0.9752182329330357	2.3493640859699494	-9.418487970331828
58000	-8194.001631404244	-8183.398451773717	-10.603179630527052	-8183.398451773717	1.020111002997146	2.4256080882332776	-9.717097379537805
59000	-8196.789826813969	-8186.309979547396	-10.479847266572852	-8186.309979547396	0.9373320760150465	2.1220299563011484	-9.727474109467911
60000	-8196.103350730793	-8183.6846367991975	-12.418713931594747	-8183.6846367991975	0.968964630010105	5.277014922303634	-10.755353349374639
61000	-8193.013846441369	-8182.513437825486	-10.500408615882233	-8182.513437825486	0.9356677089191608	1.7807496514995944	-9.92337418771021
62000	-8196.748609871	-8182.931648387217	-13.81696148378259	-8182.931648387217	1.0427629912358694	7.5412851116797786	-11.796568877071014
63000	-8193.286467679936	-8182.72633889371	-10.560128786226699	-8182.72633889371	1.0557111886624735	1.9039715636675016	-9.916186785017635
64000	-8196.778312567234	-8181.742408942665	-15.035903624569473	-8181.742408942665	0.9340070591806353	9.790536928463151	-12.754487324948414
65000	-8196.156553720633	-8183.971080336791	-12.185473383843082	-8183.971080336791	0.9780198426945157	4.801672875328878	-10.616509010953207
66000	-8192.499661351025	-8181.758507355863	-10.741153995162087	-8181.758507355863	0.9941090673038658	1.5460111295233503	-10.305475846107276
67000	-8192.230744500686	-8181.222395600617	-11.008348900068887	-8181.222395600617	0.9823952197509298	3.070905579808508	-9.886376404830662
68000	-8194.3036796848	-8183.327471273228	-10.976208411570306	-8183.327471273228	1.0263548627953036	2.3831414452001756	-10.107788859277228
69000	-8193.031302775598	-8182.000800923226	-11.030501852372716	-8182.000800923226	0.9826345173275848	1.6175934861339958	-10.54956230996743
70000	-8194.05805088068	-8183.455099910516	-10.60295097016363	-8183.455099910516	0.9929155843155584	2.567076471179235	-9.66018327862125
71000	-8194.127482377433	-8182.741927365592	-11.385555011841033	-8182.741927365592	0.9582045423918168	3.9014426644973437	-10.02420861313306
72000	-8192.896673702637	-8182.223351627159	-10.673322075477845	-8182.223351627159	0.9813980571030624	1.6031292703322617	-10.20136456234938
73000	-8194.153973582781	-8183.018939202397	-11.135034380383797	-8183.018939202397	0.9896667446905967	3.472447992152	-9.890174561911651
74000	-8192.271626937514	-8182.209712699783	-10.061914237731312	-8182.209712699783	0.9836646849995437	1.8352987306348543	-9.45470697348831
75000	-8191.001923483486	-8179.974337699527	-11.027585783959418	-8179.974337699527	0.9574324420381776	3.3901231071855444	-9.80671954842243
76000	-8191.584530420095	-8181.297281815441	-10.28724860465361	-8181.297281815441	0.9345344625279738	2.045318659771522	-9.571695003448966
